Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Spahat (2014),Chicken,Malaysia,0.4,1,9.187238149,1.98975604,,,,,,,,,,,,0.257954138,Incl,0.60033961,0.288500318,0.015229517,0.116774828,0.02885324,0.019221381,0.22685907,0.051153785,0.02432339,464.495712,8975.740299
Spahat (2014),Chicken,Malaysia,0.6,1,9.505605116,2.1277324,,,,,,,,,,,,0.275186406,Incl,0.641943058,0.158428912,0.016277082,0.13265448,0.032776854,0.021835205,0.242129715,0.054140893,0.025787264,495.1441822,9570.444541
Blonk et al. (2008),Chicken,Netherlands,1,0.5,5.819181096,NC,0.29052,NC,Incl,0.867,,,NC,NC,Incl,0,NC,Incl,Incl,0.421,Incl,NC,0.06528,0.541,,0.056642805,-,-,-,-
Scholten et al. (2014),Chicken,Netherlands,1,0.5,7.877601731,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0.159194172,0.057735679,0.022912939,-,-
Ellingsen and Aanondsen (2006),Chicken,Norway,1,1,8.860620498,Incl,Incl,NC,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.952077369,Incl,Incl,Incl,0.089752158,Incl,Incl,Incl,0.418231291,-,-,-,-
Samard_i_ et al. (2014),Chicken,Russian Federation,1,1,5.626280534,NC,0.870964084,0.011819104,0.185145453,0.59967155,0.061958774,0,0.163401726,0.049986821,NC,0,0.057034302,0.370119989,0.259518592,0.011599852,0.407752368,0.053051169,0.06676425,0.075530345,0.025673053,0,-,-,1675.264778,33136.22344
Widheden et al. (2001),Chicken,Sweden,1,1,5.525099502,NC,Incl,NC,Incl,Incl,Incl,Incl,-,NC,NC,0,0,0.545545583,Incl,Incl,Incl,0.043013117,Incl,Incl,-,0.239648836,0.053979818,0.024798473,1372.08833,52605.81631
Alig et al. (2012),Chicken,Switzerland,0.9,1,5.048959059,Incl,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.310523524,-,-,Incl,0.535359876,,Incl,Incl,0.136407669,0.029987429,0.029757884,332.2059302,-
Alig et al. (2012),Chicken,Switzerland,0.08,1,6.567088603,Incl,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.437555875,-,-,Incl,0.735548948,,Incl,Incl,0.192210806,0.029987429,0.030481909,420.5138357,-
Alig et al. (2012),Chicken,Switzerland,0.02,1,6.767172379,Incl,Incl,Incl,Incl,0,0,Incl,0,0,Incl,0,0,0.705735283,-,-,Incl,0.702310966,,Incl,Incl,0.310017429,0.057205399,0.029757884,50.46166028,-
Leinonen et al. (2012a),Chicken,United Kingdom,0.96727,1,9.728100897,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.571507967,Incl,Incl,0.795864078,0.058491269,0.034397515,0.757862205,0.120623356,0.251053667,0.071537254,0.032965944,1600.098188,66435.05065
Leinonen et al. (2012a),Chicken,United Kingdom,0.00982,1,11.09495459,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.734795958,Incl,Incl,0.660971862,0.069631959,0.047697888,1.117846752,0.115068108,0.322783286,0.089040315,0.0389709,1837.025943,75382.26572
Leinonen et al. (2012a),Chicken,United Kingdom,0.005052618,1,14.85766016,Incl,Incl,Incl,Incl,0,0,Incl,Incl,0,Incl,0,NC,2.551374854,Incl,Incl,0.64748264,0.080940396,0.05962236,1.484146818,0.026978443,1.1207753,0.131948437,0.076308043,3780.436437,171337.1685
Leinonen et al. (2016),Turkey,United Kingdom,0.018,0.25,13.45411655,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.945685279,Incl,Incl,0.865650204,0.099502169,0.079289081,2.576728036,,0.415423355,0.171757934,0.066806908,4710.253379,214879.148
Leinonen et al. (2016),Turkey,United Kingdom,0.018,0.25,12.21580472,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.804538223,Incl,Incl,1.14549402,0.089872927,0.095146897,1.729464919,,0.353419869,0.155607107,0.061508433,4258.24293,194100.8106
Leinonen et al. (2016),Turkey,United Kingdom,0.018,0.25,13.00774376,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.875111751,Incl,Incl,0.643640777,0.099502169,0.078020456,2.550524022,,0.384421612,0.156875301,0.065650495,4710.098609,214878.4348
Leinonen et al. (2016),Turkey,United Kingdom,0.018,0.25,11.57598771,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.733964694,Incl,Incl,1.12497214,0.083453432,0.089438084,1.598444849,,0.322418126,0.142458916,0.056630473,3955.44201,180241.855
Phong et al. (2011),Chicken,Viet Nam,1,1,19.54957514,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,-,-,Incl,NC,1.169898479,Incl,Incl,Incl,0.153695288,0.589165271,Incl,NC,0.208871925,0.078198236,0.033103575,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,Pasture Only,,,,,,,,,,,,,,,,1.014868488,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael (2011),Goat's milk,Australia,0.00047398,1,8.270784493,NC,0.0346055,0.000606461,Incl,0,0,0,NC,0,0.001768664,0,0,0.040932061,-,-,0.3559718,6.28543312,0.009363548,0.410343738,0.174396089,0,-,-,38.14936845,-
Michael (2011),Sheep's milk,Australia,0.000197492,1,6.793875203,NC,0.016045261,0.000491742,Incl,0,0,0,NC,0,0.001434101,0,0,0.03054654,-,-,0.498686713,4.733883648,0.008603151,0.377020453,0.160233693,0,-,-,30.29221132,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.08806,1,2.237223289,NC,0.027270028,NC,0.03955508,0.14822887,,,NC,NC,0,0,0,0.010386539,-,-,0.026426301,0.962504177,0.182934641,0.076054635,0.01616161,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.03094,1,2.068373524,NC,0,NC,0.036490277,0,0,0.148649386,NC,0,0,0,0,0.014175522,-,-,0.025283075,0.978503202,0.164241873,0.069690634,0.01480926,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.01554,1,2.057169096,NC,0.055526282,NC,0.026834134,0.151043241,,,NC,NC,0,0,0,0.006233999,-,-,0.025484172,0.985478803,0.110792443,0.041445249,0.008807115,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.00546,1,1.98012194,NC,0,NC,0.028894943,0,0,0.1526334,NC,0,0,0,0,0.007670823,-,-,0.025394375,0.997591404,0.110867893,0.042767213,0.009088033,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0672,1,2.041252565,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.013301152,-,-,0.026467601,0.754223742,0.2135457,0.092691033,0.019696845,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0128,1,1.917422672,NC,0,NC,Incl,0,0,Incl,NC,0,0,0,0,0.012281824,-,-,0.025067992,0.839280266,0.182008303,0.080078145,0.017016606,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0364,1,1.851155885,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.014671227,-,-,0.028038661,0.625989447,0.199335749,0.086835296,0.0184525,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0036,1,1.787169176,NC,0,NC,Incl,0,0,Incl,NC,0,0,0,0,0.013061301,-,-,0.026893493,0.734568142,0.17741961,0.078040056,0.016583512,0,-,-,-,-
Mathot et al. (2014),Cow's milk,Belgium,1,0.5,2.709152793,NC,0.519605695,,,,,,,,,0,0,0.177424915,-,-,0.055190903,0.93184263,,Incl,Incl,0.026479085,0.018959899,0.009727687,-,-
Meul et al. (2014),Cow's milk,Belgium,1,0.5,2.089286555,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.045817491,-,-,Incl,0.828037867,,Incl,Incl,0.010711331,0.016872469,0.004666721,-,-
Cunha et al. (2016),Cow's milk,Brazil,0.195511068,0.5,3.068548726,NC,0.209160175,NC,Incl,0.068054052,0.004607433,0,NC,NC,0,0,0,3.18662E-05,-,-,0.004269398,0.665314488,0.31753646,0.057555147,,0.00838866,-,-,-,-
Cunha et al. (2016),Cow's milk,Brazil,0.195511068,0.5,4.716508777,NC,0.027985944,NC,Incl,0.079758766,0.031501361,0,NC,NC,0,0,0,0.000153371,-,-,0.001669386,0.650364802,0.260145921,0.050670275,,0.028174343,-,-,-,-
Olszensvski (2011),Cow's milk,Brazil,0.312895819,0.5,4.406428198,0.45066377,,,,,,,NC,NC,NC,0,0,2.59986E-05,-,-,Incl,0.987619562,0.521277869,0.057545136,0.011636417,0.015964679,-,-,-,-
Seó (2015),Cow's milk,Brazil,0.312895819,0.5,8.097635025,Incl,0.024409279,0.004108167,0.024409279,0.207478875,,,NC,0.111261273,0.466577481,0,NC,0.00011071,-,-,0.024409279,1.145283387,,0.073227838,0.015560916,0.069375995,-,-,-,-
Velazco-Bedoya (2015),Cow's milk,Brazil,0.16,1,5.668763551,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,NC,0,NC,0.000119433,-,-,0.04132,0.913172,0.16528,,Incl,0.031197002,0.027262641,0.015355455,128.9618406,307.7618388
Arsenault et al. (2009),Cow's milk,Canada,0.014339,0.9,3.362432572,0,0,0,0,0,0,0,0,0,0,0,0,0.174484284,-,-,0.090033288,0.885491102,0.236627034,0.00489143,0.019888289,0.017642512,0.020088368,0.005962683,142.4522825,4469.197749
Arsenault et al. (2009),Cow's milk,Canada,0.007721,0.9,2.864722728,NC,0.178898217,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.178431623,-,-,0.094075787,0.933858263,0.171145339,0.003260953,0.013483586,0.00209254,0.017776963,0.005718447,286.2146709,11925.40175
Jayasundara and Wagner-Riddle (2014),Cow's milk,Canada,0.32749,0.45,2.187534206,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.074173501,-,-,0.027911329,0.77734266,0.219504403,0.106791173,0.027916365,0,-,-,-,-
Mc Geough et al. (2012),Cow's milk,Canada,0.37172,0.45,1.705932648,0,0,0,0,0,0,0,0,0,0,0,0,0.079453971,-,-,NC,0.565654633,0.098107338,0.062433975,,0,-,-,45.76388883,45.01671877
Samson et al. (2012),Cow's milk,Canada,1,0.1,1.815351808,-,Incl,-,Incl,Incl,Incl,Incl,-,-,-,0,0,-,-,-,0.02130429,0.695372014,0.20322625,0.163186227,,0,-,-,23.566292,-
Vergé et al. (2007),Cow's milk,Canada,0.030664406,0.9,1.989808354,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.130381265,-,-,0.016828373,0.681148423,0.190721558,0.129415615,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.37172,0.45,1.962835788,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.113145501,-,-,0.0226418,0.676139241,0.187363886,0.130592057,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.32749,0.45,2.201426237,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.154014525,-,-,0.023334811,0.746158358,0.217235978,0.157020695,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.155583467,0.9,2.187891532,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.238653151,-,-,0.018799525,0.67976695,0.192769732,0.12650261,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.086182376,0.9,2.081299128,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.174630359,-,-,0.027951962,0.72408893,0.203650012,0.120914779,Incl,0,-,-,-,-
Wang et al. (2016a),Cow's milk,China,0.07,0.125,3.406255763,0,0,0,0,0,0,0,0,0,0,0,0,0.066155834,-,-,0.047791092,1.234921816,0.057844599,0.141165196,0.016030652,0.018539675,-,-,580.0195041,26400.41327
Wang et al. (2016a),Cow's milk,China,0.07,0.125,3.672160885,0,0,0,0,0,0,0,0,0,0,0,0,0.05400191,-,-,0.12507402,1.609414,0.050995769,0.124451165,0.014132615,0.015235213,-,-,555.2015321,25261.35738
Wang et al. (2016a),Cow's milk,China,0.07,0.125,2.835884816,0,0,0,0,0,0,0,0,0,0,0,0,0.042870314,-,-,0.078048889,1.114538133,0.037873576,0.092427487,0.010496021,0.012066086,-,-,489.4417855,22258.55171
Wang et al. (2016a),Cow's milk,China,0.07,0.125,3.836884948,0,0,0,0,0,0,0,0,0,0,0,0,0.046930656,-,-,0.161623363,1.758462188,0.057884212,0.141261869,0.01604163,0.013070148,-,-,636.9876614,28979.22274
Wang et al. (2016a),Cow's milk,China,0.07,0.125,2.777841406,0,0,0,0,0,0,0,0,0,0,0,0,0.043739301,-,-,0.107182908,1.046884692,0.039857184,0.097268324,0.011045744,0.012214489,-,-,408.1090298,18555.79481
Wang et al. (2016a),Cow's milk,China,0.07,0.125,2.871294386,0,0,0,0,0,0,0,0,0,0,0,0,0.03411527,-,-,0.137959868,1.232967053,0.038925575,0.094994807,0.010787565,0.009453405,-,-,360.9038709,16398.91837
Wang et al. (2016a),Cow's milk,China,0.07,0.125,3.467545475,0,0,0,0,0,0,0,0,0,0,0,0,0.052681826,-,-,0.123040576,1.390169215,0.06299129,0.153725291,0.01745697,0.01467822,-,-,535.7029065,24372.03638
Wang et al. (2016a),Cow's milk,China,0.07,0.125,2.71756022,0,0,0,0,0,0,0,0,0,0,0,0,0.038710918,-,-,0.108653504,1.061248403,0.037968823,0.092659928,0.010522417,0.010782509,-,-,381.4245999,17336.89561
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,3.47064247,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.022946974,-,-,0.014202331,1.848630788,0.101417726,,0.053377344,0.014531684,-,-,581.4512151,25369.37083
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,1.886831325,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.023722104,-,-,0.002020657,1.187070395,0.035217161,,0.024238012,0.015596197,-,-,423.3917157,18820.87381
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,2.256701423,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.008208498,-,-,0.014625706,0.909846957,0.031079626,,0.018766414,0.003969915,-,-,463.3067467,19917.50606
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,2.305900779,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.007957294,-,-,0,0.957664722,0.033292726,,0.02621024,0.003554558,-,-,434.1024703,17582.40039
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,2.889417371,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.011536782,-,-,0.050968662,1.325268407,0.023064354,,0.030674563,0.005973098,-,-,589.581044,26431.04622
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,2.559986684,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.014602129,-,-,0.096414195,1.243692555,0.031070004,,0.046492214,0.008540172,-,-,557.4804174,25022.48699
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,3.010564713,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.045704066,-,-,0,2.882070985,0.477219467,,0.127685539,0.031351909,-,-,41.91041332,783.9282211
Wilkes and Wang (2009),Cow's milk,China,0.21,0.125,3.1033793,0,0,NC,Incl,0,0,0,NC,0,0,0,0,0.028961778,-,-,0.218515817,2.185273988,0.200409212,,0.031411524,0.019867095,-,-,302.7960972,12543.99461
Rivera et al. (2014),Cow's milk,Colombia,1,0.5,3.983886822,NC,0.051257891,0.000679086,0.032963807,0.001673108,0.002028643,0,NC,NC,0.007105094,0,0,0.001377221,-,-,Incl,0.945669748,0.001600364,0.450262892,0.095680865,0.009838,-,-,-,-
Rivera et al. (2014),Cow's milk,Colombia,1,0.5,3.609755303,NC,0.042967678,0.000654677,0.027222259,0.001332792,0.001616011,0,NC,NC,0.006847419,0,0,0.000998252,-,-,Incl,0.888887576,0.001466206,0.416265135,0.088456341,0.008246559,-,-,-,-
Guerci et al. (2013b),Cow's milk,Denmark,0.09494105,0.333333333,2.67585791,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.10222293,-,-,Incl,0.993440578,0.307177839,,,0.007133405,0.022691047,0.009802186,231.7481016,2841.083736
Guerci et al. (2013b),Cow's milk,Denmark,0.09494105,0.333333333,2.275513086,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.094439421,-,-,Incl,0.768107777,0.234026309,,,0.012679525,0.020996043,0.008729322,301.1460404,7270.477848
Guerci et al. (2013b),Cow's milk,Denmark,0.90505895,0.25,2.962449821,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.107463323,-,-,Incl,0.860766121,0.294153517,,,0.008168762,0.025918363,0.01215927,435.8360868,7321.414806
Guerci et al. (2013b),Cow's milk,Denmark,0.90505895,0.25,2.448618801,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.067622713,-,-,Incl,0.764124545,0.250450368,,,0.007154034,0.022044413,0.009812561,452.1997457,7774.834181
Guerci et al. (2013b),Cow's milk,Denmark,0.90505895,0.25,3.098285084,0,0,0,0,0,0,0,0,0,0,0,0,0.141313442,-,-,Incl,0.871310325,0.31202699,,,0.033853301,0.026657707,0.010461958,527.7541092,20133.56987
Kristensen et al. (2011),Cow's milk,Denmark,0.90505895,0.25,2.169582512,NC,Incl,NC,Incl,Incl,Incl,Incl,Incl,NC,0,0,0,0.128565986,-,-,Incl,0.653025215,0.116380731,Incl,Incl,0.016805601,-,-,-,-
Kristensen et al. (2011),Cow's milk,Denmark,0.09494105,0.333333333,2.128870937,NC,Incl,NC,Incl,Incl,Incl,Incl,Incl,NC,0,0,0,0.156462716,-,-,Incl,0.756138764,0.103783752,Incl,Incl,0,-,-,-,-
Bystricky et al. (2014),Cow's milk,France,0.9802509,0.125,2.22547586,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,1.011663922,,Incl,Incl,0.018110112,0.019124456,0.009147663,17.63000234,-
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.417986099,Incl,Incl,0.060715608,,0.569780074,,,0,0.006403815,0,0,0,0.040510074,-,-,Incl,1.01596145,0.17708719,,,0.003722439,0.016249943,0.005997467,223.7956217,6221.330311
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.442801764,Incl,Incl,0.06308531,,0.610838725,,,0,0.005684348,0,0,0,0.041663827,-,-,Incl,0.990138351,0.12617062,,,0.003826786,0.016197344,0.005997467,204.9849831,5624.541408
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.367775841,Incl,Incl,0.05302389,,0.42778596,,,0,0.004826347,0,0,0,0.044860745,-,-,Incl,0.891628165,0.139749405,,,0.005410385,0.014040781,0.006249943,328.2045203,11829.1404
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.203943181,Incl,Incl,0.048278288,,0.239817148,,,0,0.002478672,0,0,0,0.044229111,-,-,Incl,0.755429264,0.178813333,,,0.007431122,0.013619988,0.006007987,206.6177981,6115.928343
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.35456725,Incl,Incl,0.048156394,,0.423214935,,,0,0.004826347,0,0,0,0.047154175,-,-,Incl,0.874508298,0.14033305,,,0.004850607,0.01409338,0.006439299,330.996253,12579.55205
Nguyen et al. (2013a),Cow's milk,France,0.9802509,0.125,2.190822879,Incl,Incl,0.043863246,,0.236757402,,,0,0.002478672,0,0,0,0.052082226,-,-,Incl,0.744170556,0.171027612,,,0.010389097,0.013777786,0.00639722,215.3328245,6597.393473
van der Werf et al. (2009),Cow's milk,France,0.9802509,0.125,1.974501593,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.041054268,-,-,Incl,0.82290846,,Incl,Incl,0.007957197,0.010369365,0.008101431,-,-
van der Werf et al. (2009),Cow's milk,France,0.0197491,1,1.999827967,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.021754591,-,-,Incl,0.95321108,,Incl,Incl,0.003112148,0.009527779,0.005892269,-,-
Bystricky et al. (2014),Cow's milk,Germany,1,0.2,2.230132853,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,0.982668604,,Incl,Incl,0.020137173,0.020689711,0.010730176,17.41897836,-
Guerci et al. (2013b),Cow's milk,Germany,1,0.2,2.32414844,0,0,0,0,0,0,0,0,0,0,0,0,0.112133088,-,-,Incl,0.673381249,0.238932416,,,0.017558835,0.021621854,0.008828022,458.511418,18961.16962
Guerci et al. (2013b),Cow's milk,Germany,1,0.2,1.450901913,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.098163588,-,-,Incl,0.67185393,0.079546766,,,0.002830856,0.010551728,0.005699286,54.15085766,1529.682315
Zehetmeier et al. (2014),Cow's milk,Germany,1,0.2,1.938274075,0,0,0,0,0,0,0,0,0,0,0,0,0.112137022,-,-,0.029838205,0.676332647,0.149191025,,0.019892137,0.00899458,-,-,-,-
Zehetmeier et al. (2014),Cow's milk,Germany,1,0.2,1.853926038,0,0,0,0,0,0,0,0,0,0,0,0,0.104969251,-,-,0.036781687,0.587771353,0.137931325,,0.018390843,0.011885695,-,-,-,-
Garg et al. (2016),Cow and buffalo milk,India,0.0765,1,2.859686133,0,0,0,0,0,0,0,0,0,0,0,0,0.020848102,-,-,Incl,1.441977103,0.122000482,0.145071302,,0,-,-,2614.256135,79851.15742
O'Brien et al. (2012),Cow's milk,Ireland,0.012048193,1,1.69870836,0,0.121022355,NC,0.01445043,0.084896279,,0.002709456,NC,0,0.009031519,0,0,0.040227485,-,-,0.017159886,0.560098682,0.043231226,0.073881106,,0.002723894,0.009699185,0.004241722,28.23199692,728.9621921
O'Brien et al. (2012),Cow's milk,Ireland,0.012048193,1,1.904232001,0,0.008490434,NC,0.001061304,0,0,0,NC,0,0.004245217,0,0,0.063812738,-,-,0.062616948,0.513841041,0.148332566,0.02571757,,0.018327755,0.015007071,0.005515615,222.5420847,8868.317179
O'Brien et al. (2014),Cow's milk,Ireland,0.012048193,1,1.666666128,NC,0.09893639,NC,Incl,0.102978204,,,0.002077549,0.006935499,0.001488393,0,0,0.033695118,-,-,0.036410645,0.605422951,0.05916611,0.180312634,,0.0001624,-,-,15.26739872,146.8511209
O'Brien et al. (2016b),Cow's milk,Ireland,0.746987952,1,2.105969512,NC,0.15495,0.00315398,0.03099,0.104547396,0.034849132,Incl,NC,0,0.05165,0,0,0.05809483,-,-,0.02066,0.740070714,0.065979186,0.171225402,Incl,0.003827942,-,-,-,-
Yan et al. (2013),Cow's milk,Ireland,0.21686747,1,2.141206687,-,Incl,0.001250332,Incl,Incl,Incl,Incl,NC,NC,Incl,0,0,0.073465547,-,-,Incl,0.743041032,Incl,Incl,Incl,0,-,-,-,-
Battini et al. (2014),Cow's milk,Italy,0.943,0.076923077,2.364119453,-,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.046149172,-,-,Incl,0.531469987,0.448762842,0.015766613,,0.013791441,-,0.018907037,252.274133,9151.089517
Bava et al. (2014),Cow's milk,Italy,0.943,0.076923077,2.389141573,0,0,0,0,0,0,0,0,0,0,0,0,0.033410271,-,-,Incl,0.957231903,,0.039188447,,0.012913877,0.019688971,0.008982131,-,-
Bystricky et al. (2014),Cow's milk,Italy,0.943,0.076923077,2.042301188,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,0.677412063,,Incl,Incl,0.025399083,0.016995294,0.007693948,24.54003465,-
Fantin et al. (2012),Cow's milk,Italy,0.943,0.076923077,2.440867934,0,0,0,0,0,0,0,0,0,0,0,0,0.048124149,-,-,Incl,0.777693507,,Incl,Incl,0.010652695,0.011110299,0.007384117,-,-
Guerci et al. (2013a),Cow's milk,Italy,0.943,0.076923077,2.366854729,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.047653289,-,-,Incl,0.695837064,0.175329024,0.026858,0.005707325,0.01861728,0.023169059,0.010143058,-,-
Guerci et al. (2013b),Cow's milk,Italy,0.943,0.076923077,2.503672594,0,0,0,0,0,0,0,0,0,0,0,0,0.069994184,-,-,Incl,0.783913497,0.263724669,,,0.027279975,0.022762822,0.008962391,514.1295159,23828.59335
Guerci et al. (2013b),Cow's milk,Italy,0.943,0.076923077,3.333656612,0,0,0,0,0,0,0,0,0,0,0,0,0.036111419,-,-,Incl,1.254647263,0.383330937,,,0.011650245,0.033477937,0.014121923,275.3726855,12827.75668
Guerci et al. (2013b),Cow's milk,Italy,0.943,0.076923077,2.578294531,0,0,0,0,0,0,0,0,0,0,0,0,0.072134022,-,-,Incl,0.877328677,0.276153895,,,0.030219701,0.0233101,0.009313331,585.3414604,27087.39923
Guerci et al. (2013b),Cow's milk,Italy,0.943,0.076923077,2.246797448,0,0,0,0,0,0,0,0,0,0,0,0,0.070165199,-,-,Incl,0.712670631,0.242643463,,,0.030068229,0.020673629,0.007937996,739.8062992,34159.10851
Guerci et al. (2013b),Cow's milk,Italy,0.943,0.076923077,2.06342383,0,0,0,0,0,0,0,0,0,0,0,0,0.046484241,-,-,Incl,0.740724977,0.265387481,,,0.019636153,0.019366708,0.007163606,783.3319902,35928.94391
Guerci et al. (2014),Cow's milk,Italy,0.943,0.076923077,3.443002713,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.025314283,-,-,Incl,0.869738224,0.2950248,0.067145,,0.011184724,-,-,-,-
Guerci et al. (2014),Cow's milk,Italy,0.943,0.076923077,3.333924409,-,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,-,0,0,0.034517462,-,-,Incl,1.05525165,0.30485896,0.119828,,0.015011537,-,-,-,-
Penati et al. (2013); Penati et al. (2010),Cow's milk,Italy,0.943,0.076923077,2.484713318,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.122641403,-,-,Incl,0.672656544,,0.02001954,0.004254152,0.051732392,0.024541302,0.00876026,-,-
Vagnoni et al. (2015),Sheep's milk,Italy,0.0386,0.333333333,2.361421301,-,0,0.66147922,,0,0,Incl,NC,-,0,0,0,0.01323127,-,-,Incl,0.901705836,0.115006347,0.049580086,0.010535768,0,-,-,7.677392766,337.381985
